0,0,0
6,0,0
11,0,0
18,0,0
24,0,0
29,0,0
35,0,0
41,0,0
47,0,0
52,0,0
59,0,0
65,0,0
70,0,0
76,0,0
82,0,0
88,0,0
93,0,0
100,0,0
106,0,0
112,0,0
117,0,0
123,0,0
129,0,0
135,0,0
141,0,0
147,0,0
153,0,0
159,0,0
164,0,0
170,0,0
176,0,0
182,0,0
188,0,0
194,0,0
200,0,0
206,0,0
212,0,0
217,0,0
223,0,0
230,0,0
236,0,0
241,0,0
247,0,0
253,0,0
259,0,0
264,0,0
271,0,0
277,0,0
283,0,0
288,0,0
294,0,0
300,0,0
306,0,0
313,0,0
318,0,0
324,0,0
330,0,0
336,0,0
341,0,0
347,0,0
353,0,0
360,0,0
365,0,0
371,0,0
377,0,0
383,0,0
388,0,0
394,0,0
401,0,0
407,0,0
412,0,0
418,0,0
424,0,0
430,0,0
436,0,0
442,0,0
448,0,0
454,0,0
460,0,0
465,0,0
471,0,0
477,0,0
484,0,0
489,0,0
495,0,0
501,0,0
507,0,0
512,0,0
518,0,0
525,0,0
531,0,0
536,0,0
542,0,0
548,0,0
554,0,0
560,0,0
565,0,0
572,0,0
578,0,0
584,0,0
589,0,0
595,0,0
601,0,0
607,0,0
613,0,0
619,0,0
625,0,0
631,0,0
636,0,0
642,0,0
648,0,0
655,0,0
661,0,0
666,0,0
672,0,0
678,0,0
684,0,0
689,0,0
696,0,0
702,0,0
708,0,0
713,0,0
719,0,0
725,0,0
731,0,0
736,0,0
743,0,0
749,0,0
755,0,0
761,0,0
766,0,0
772,0,0
778,0,0
785,0,0
790,0,0
796,0,0
802,0,0
808,0,0
813,0,0
819,0,0
826,0,0
832,0,0
837,0,0
843,0,0
849,0,0
855,0,0
860,0,0
867,0,0
873,0,0
879,0,0
885,0,0
890,0,0
896,0,0
902,0,0
909,0,0
914,0,0
920,0,0
926,0,0
932,0,0
937,0,0
943,0,0
949,0,0
956,0,0
961,0,0
967,0,0
973,0,0
979,0,0
985,0,0
990,0,0
997,0,0
1003,0,0
1009,0,0
1015,0.45,0.45
1020,0.45,0.9
1026,1.35,1.58
1032,2.03,2.25
1039,2.93,3.15
1045,3.6,3.83
1051,4.28,4.73
1057,4.95,5.18
1063,5.63,5.86
1069,6.31,6.31
1075,6.98,6.98
1082,7.21,7.66
1088,7.88,8.56
1094,8.56,9.23
1099,9.46,9.91
1105,10.36,10.81
1111,11.26,11.71
1117,12.39,12.61
1124,13.29,13.51
1131,14.41,14.41
1137,15.54,15.32
1143,16.89,16.44
1149,18.02,17.57
1155,19.37,18.69
1161,20.72,19.82
1168,21.85,20.95
1174,23.2,22.07
1180,24.55,23.42
1186,25.9,24.55
1192,27.25,25.9
